               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.082679,             0.05311,            0.025173,             0.20885,             0.49293,             0.25948,             0.08368,            0.062508,            0.018813,            0.025484,            0.070135,           0.0033183,           0.0033183
                   1,            0.059304,            0.044023,            0.021936,             0.38118,             0.58785,             0.43447,             0.17789,            0.050714,            0.017372,             0.01957,            0.040069,           0.0065858,           0.0065858
                   2,            0.054767,            0.040578,            0.015024,             0.56759,              0.6314,             0.59778,             0.21547,            0.048387,            0.016303,            0.017353,           0.0099374,           0.0097873,           0.0097873
                   3,            0.049932,            0.040468,             0.01098,             0.66089,             0.70619,             0.68201,             0.28268,            0.043388,            0.015949,             0.01225,            0.009703,            0.009703,            0.009703
                   4,            0.046686,            0.040177,           0.0095041,             0.71216,             0.65109,             0.67113,              0.3063,            0.042389,            0.016862,            0.013144,            0.009703,            0.009703,            0.009703
                   5,            0.044523,             0.03864,           0.0084052,             0.69048,             0.62772,             0.62733,              0.2477,            0.045002,            0.017106,            0.011469,            0.009604,            0.009604,            0.009604
                   6,            0.042986,            0.038153,           0.0070642,             0.73276,             0.64511,             0.64504,             0.23205,            0.046946,            0.016837,            0.011462,            0.009505,            0.009505,            0.009505
                   7,            0.041786,            0.037724,           0.0065277,             0.72537,             0.73719,              0.7414,              0.2721,            0.044142,            0.016359,           0.0084731,            0.009406,            0.009406,            0.009406
                   8,            0.041312,            0.036442,           0.0060599,             0.73136,              0.7136,             0.73355,             0.33523,            0.040782,            0.016518,            0.011402,            0.009307,            0.009307,            0.009307
                   9,            0.040123,            0.036206,           0.0056531,              0.7679,             0.73152,             0.78399,              0.3159,            0.041307,            0.015749,            0.010619,            0.009208,            0.009208,            0.009208
                  10,            0.039452,            0.036001,           0.0052762,             0.76695,             0.66196,               0.739,             0.30089,              0.0422,            0.017803,           0.0095918,            0.009109,            0.009109,            0.009109
                  11,            0.038618,            0.035075,           0.0048783,             0.74283,             0.79227,             0.79727,             0.33029,            0.041669,            0.015399,           0.0066492,             0.00901,             0.00901,             0.00901
                  12,            0.038306,             0.03476,           0.0046646,             0.74884,             0.75707,             0.78984,             0.38114,            0.038362,            0.015257,           0.0084251,            0.008911,            0.008911,            0.008911
                  13,            0.038282,            0.036048,           0.0044088,             0.74372,              0.7777,             0.78323,             0.32626,             0.04238,            0.015944,           0.0080697,            0.008812,            0.008812,            0.008812
                  14,            0.037373,            0.034759,           0.0041816,             0.74733,             0.75109,             0.77675,             0.35758,            0.040076,             0.01667,           0.0070789,            0.008713,            0.008713,            0.008713
                  15,            0.037091,            0.033912,           0.0041444,             0.78304,               0.775,             0.78816,             0.35469,            0.040004,            0.015094,            0.010964,            0.008614,            0.008614,            0.008614
                  16,            0.037034,            0.033865,           0.0039095,             0.75048,             0.74946,             0.77459,             0.38307,            0.038598,            0.015448,            0.011502,            0.008515,            0.008515,            0.008515
                  17,            0.036633,            0.033202,           0.0034755,             0.82485,             0.76536,              0.8058,             0.36648,            0.040352,            0.015266,            0.010341,            0.008416,            0.008416,            0.008416
                  18,             0.03627,            0.033179,           0.0035908,             0.83288,             0.75644,              0.8087,             0.35005,            0.042087,            0.015489,           0.0085663,            0.008317,            0.008317,            0.008317
                  19,            0.035713,            0.032549,            0.003324,             0.75714,             0.77957,              0.7922,             0.34814,              0.0403,            0.015701,           0.0080346,            0.008218,            0.008218,            0.008218
                  20,            0.035397,            0.032717,           0.0033352,              0.8117,             0.81253,             0.83519,              0.3944,            0.038222,             0.01506,           0.0066194,            0.008119,            0.008119,            0.008119
                  21,            0.034886,            0.032645,           0.0034322,             0.76492,             0.75652,             0.79743,             0.35493,            0.038845,            0.016116,           0.0078692,             0.00802,             0.00802,             0.00802
                  22,            0.034876,            0.031988,           0.0031743,               0.817,             0.76394,             0.77806,             0.32814,            0.041429,            0.015835,           0.0065227,            0.007921,            0.007921,            0.007921
                  23,            0.034768,            0.031922,           0.0029825,             0.76925,             0.81515,             0.81152,             0.32627,            0.042358,            0.015047,           0.0086509,            0.007822,            0.007822,            0.007822
                  24,            0.034197,            0.031679,           0.0028312,             0.82471,             0.80598,             0.83815,             0.37579,            0.039204,            0.015107,           0.0064391,            0.007723,            0.007723,            0.007723
                  25,            0.034054,            0.032147,           0.0027383,             0.81776,             0.83807,             0.87495,             0.42959,              0.0358,            0.014737,           0.0056461,            0.007624,            0.007624,            0.007624
                  26,             0.03407,             0.03177,           0.0026464,              0.8716,             0.83365,             0.86734,             0.43317,            0.036348,            0.015038,            0.003864,            0.007525,            0.007525,            0.007525
                  27,             0.03347,            0.030892,           0.0026277,             0.78627,              0.8257,             0.84376,             0.37932,            0.039124,            0.014735,           0.0071331,            0.007426,            0.007426,            0.007426
                  28,            0.033518,            0.031275,           0.0027162,             0.87873,             0.80217,             0.87347,             0.41948,            0.037633,            0.014418,           0.0048357,            0.007327,            0.007327,            0.007327
                  29,            0.033109,            0.030365,           0.0025327,             0.86286,             0.76543,             0.85537,             0.41004,            0.036754,            0.015422,           0.0061689,            0.007228,            0.007228,            0.007228
                  30,            0.032921,            0.030749,           0.0024955,             0.82477,             0.82725,             0.85218,             0.42549,            0.037013,            0.015898,           0.0051756,            0.007129,            0.007129,            0.007129
                  31,            0.032647,            0.030718,            0.002521,             0.84782,             0.81576,             0.86171,              0.4161,            0.036808,            0.015212,           0.0067973,             0.00703,             0.00703,             0.00703
                  32,            0.032505,            0.030226,           0.0024449,             0.78512,             0.77989,             0.81239,             0.41061,            0.036362,            0.014545,            0.010993,            0.006931,            0.006931,            0.006931
                  33,            0.032375,            0.030202,           0.0024568,             0.82411,             0.82544,             0.86291,             0.40672,            0.038088,            0.014683,           0.0064253,            0.006832,            0.006832,            0.006832
                  34,            0.032213,            0.030466,           0.0021626,             0.85541,               0.765,             0.82247,             0.38288,             0.03843,              0.0154,           0.0085183,            0.006733,            0.006733,            0.006733
                  35,             0.03208,             0.02999,           0.0021773,             0.82145,              0.8462,             0.87119,             0.42689,            0.037154,            0.014412,             0.00606,            0.006634,            0.006634,            0.006634
                  36,             0.03195,             0.03017,           0.0021746,             0.88574,             0.79727,             0.87063,             0.41418,            0.037908,            0.014816,           0.0077465,            0.006535,            0.006535,            0.006535
                  37,            0.031952,            0.029236,           0.0021296,             0.84915,             0.79304,             0.84159,             0.40168,            0.038257,            0.015221,           0.0066085,            0.006436,            0.006436,            0.006436
                  38,            0.031363,            0.029504,           0.0019963,             0.89485,             0.80272,             0.87203,              0.4403,            0.036077,            0.015496,           0.0059716,            0.006337,            0.006337,            0.006337
                  39,            0.031282,            0.029545,           0.0020963,             0.86606,             0.82328,             0.86714,             0.44745,            0.035725,            0.015187,           0.0064579,            0.006238,            0.006238,            0.006238
                  40,             0.03087,            0.028828,           0.0020199,             0.89428,             0.82685,             0.86333,              0.4283,            0.036744,             0.01473,           0.0057611,            0.006139,            0.006139,            0.006139
                  41,            0.030666,            0.028868,           0.0018665,             0.88322,             0.83607,             0.86655,             0.41125,            0.037713,            0.015094,           0.0053228,             0.00604,             0.00604,             0.00604
                  42,            0.030862,            0.028951,           0.0018519,             0.86321,             0.80402,             0.85925,             0.42389,            0.037426,            0.015379,           0.0051429,            0.005941,            0.005941,            0.005941
                  43,            0.030111,            0.028241,           0.0017492,             0.89428,             0.82293,             0.87122,             0.45649,            0.035222,            0.015027,           0.0061512,            0.005842,            0.005842,            0.005842
                  44,            0.030109,            0.028272,           0.0017871,             0.89001,              0.8201,             0.89094,             0.44144,            0.036682,            0.014584,           0.0046854,            0.005743,            0.005743,            0.005743
                  45,            0.029883,            0.028155,           0.0016986,             0.88222,             0.81087,             0.84607,             0.41674,            0.037349,            0.016252,            0.005653,            0.005644,            0.005644,            0.005644
                  46,            0.029709,            0.027995,           0.0016529,             0.87772,             0.83098,             0.87493,              0.4352,            0.037595,            0.014845,           0.0063638,            0.005545,            0.005545,            0.005545
                  47,            0.029839,            0.027772,           0.0016859,             0.84831,             0.80272,              0.8687,             0.46663,            0.035319,            0.015079,           0.0069417,            0.005446,            0.005446,            0.005446
                  48,            0.029468,            0.028554,           0.0015007,             0.86858,             0.84235,             0.87567,             0.43826,            0.036846,            0.015421,           0.0047703,            0.005347,            0.005347,            0.005347
                  49,            0.029246,            0.027812,           0.0014432,             0.92977,              0.7625,             0.86111,             0.45905,            0.036089,            0.015151,           0.0056793,            0.005248,            0.005248,            0.005248
                  50,            0.028921,            0.027283,           0.0015112,             0.87701,             0.80761,             0.87386,             0.46704,            0.035279,            0.015005,           0.0066473,            0.005149,            0.005149,            0.005149
                  51,            0.028933,            0.027504,           0.0014372,             0.88697,             0.76964,             0.86308,              0.4578,            0.035592,             0.01565,           0.0064981,             0.00505,             0.00505,             0.00505
                  52,            0.028651,            0.026996,           0.0012101,              0.9118,             0.81361,             0.89545,             0.46139,            0.035106,            0.014928,           0.0061407,            0.004951,            0.004951,            0.004951
                  53,             0.02879,            0.027044,           0.0013987,             0.86472,             0.81294,             0.85939,             0.46201,            0.034865,            0.015533,           0.0058321,            0.004852,            0.004852,            0.004852
                  54,              0.0283,            0.026444,           0.0013858,             0.88661,             0.80162,             0.86831,             0.44929,            0.035931,            0.015803,           0.0047308,            0.004753,            0.004753,            0.004753
                  55,            0.028141,            0.026705,           0.0012544,             0.92347,             0.82065,             0.88442,             0.43388,            0.037211,            0.016501,           0.0040369,            0.004654,            0.004654,            0.004654
                  56,            0.027903,            0.026606,           0.0012956,              0.8853,             0.81488,             0.87794,             0.46727,            0.034962,            0.016601,           0.0040779,            0.004555,            0.004555,            0.004555
                  57,            0.028152,            0.026244,           0.0012434,             0.86938,               0.805,             0.85517,             0.42905,             0.03765,            0.016029,            0.006625,            0.004456,            0.004456,            0.004456
                  58,            0.027996,            0.026311,           0.0012229,             0.88258,             0.76228,             0.84792,             0.45211,            0.035663,            0.016378,           0.0070776,            0.004357,            0.004357,            0.004357
                  59,            0.027585,            0.026128,           0.0010733,             0.88922,              0.7875,              0.8722,             0.44071,            0.036372,            0.015913,           0.0072897,            0.004258,            0.004258,            0.004258
                  60,            0.027357,            0.026499,           0.0012416,             0.87364,             0.79774,             0.87644,             0.45619,            0.036068,            0.016174,           0.0052898,            0.004159,            0.004159,            0.004159
                  61,            0.027455,            0.026239,           0.0010754,             0.84147,             0.84348,              0.8839,             0.45647,             0.03573,            0.016131,           0.0053083,             0.00406,             0.00406,             0.00406
                  62,             0.02682,            0.025548,           0.0011016,             0.85905,             0.81413,             0.86385,             0.44343,            0.036578,            0.016282,           0.0071837,            0.003961,            0.003961,            0.003961
                  63,            0.027152,            0.025873,           0.0011875,             0.85226,             0.80163,             0.84654,             0.44839,            0.035291,            0.016919,           0.0051996,            0.003862,            0.003862,            0.003862
                  64,            0.026868,            0.025182,           0.0011209,             0.85138,             0.82609,             0.86812,             0.44035,            0.036782,            0.016132,           0.0052259,            0.003763,            0.003763,            0.003763
                  65,            0.026509,            0.025397,           0.0010612,              0.8629,             0.77171,              0.8519,             0.43661,            0.036941,            0.017062,           0.0066548,            0.003664,            0.003664,            0.003664
                  66,            0.026606,            0.025495,           0.0011216,               0.888,             0.79728,             0.86465,             0.45125,             0.03627,            0.017032,           0.0058551,            0.003565,            0.003565,            0.003565
                  67,            0.026353,            0.024996,           0.0010459,             0.89763,             0.80978,             0.87933,             0.46139,            0.035821,            0.015837,           0.0059289,            0.003466,            0.003466,            0.003466
                  68,            0.026309,            0.024923,            0.001008,             0.90123,             0.84466,              0.9008,             0.46197,             0.03587,            0.015766,           0.0055971,            0.003367,            0.003367,            0.003367
                  69,            0.025976,             0.02527,          0.00099837,             0.88561,             0.81314,             0.87414,             0.44851,             0.03648,             0.01666,           0.0054735,            0.003268,            0.003268,            0.003268
                  70,            0.026683,            0.026028,           0.0012391,             0.87892,             0.82337,             0.86428,             0.44717,            0.036605,            0.016247,           0.0050083,            0.003169,            0.003169,            0.003169
                  71,            0.026644,            0.025015,           0.0013343,             0.88296,             0.83281,             0.88542,             0.45459,            0.035853,            0.015389,            0.006555,             0.00307,             0.00307,             0.00307
                  72,            0.026714,             0.02608,           0.0013503,             0.88788,             0.84674,             0.89369,             0.47181,            0.034476,             0.01521,           0.0057465,            0.002971,            0.002971,            0.002971
                  73,            0.026202,            0.025722,           0.0012465,             0.86593,             0.82669,             0.88834,             0.46349,            0.035347,            0.015066,            0.006435,            0.002872,            0.002872,            0.002872
                  74,            0.026228,            0.025077,           0.0012044,             0.89241,             0.82535,             0.87783,             0.46626,            0.035152,            0.015469,           0.0047818,            0.002773,            0.002773,            0.002773
                  75,            0.026209,             0.02566,           0.0013417,             0.81064,             0.85661,             0.88018,             0.47079,            0.035065,            0.015718,           0.0069385,            0.002674,            0.002674,            0.002674
                  76,            0.026227,            0.025477,           0.0012275,             0.91059,             0.76091,             0.87182,             0.45644,            0.036529,            0.015952,           0.0066612,            0.002575,            0.002575,            0.002575
                  77,             0.02599,            0.025447,           0.0011926,             0.85533,             0.83401,             0.88607,             0.46507,            0.036012,             0.01522,           0.0067621,            0.002476,            0.002476,            0.002476
                  78,             0.02589,            0.025192,           0.0012266,             0.88313,             0.79728,             0.88012,             0.47208,            0.035761,            0.015627,           0.0066617,            0.002377,            0.002377,            0.002377
                  79,            0.025633,            0.025292,           0.0010977,              0.8608,             0.84484,             0.88271,             0.45664,            0.036091,            0.015461,           0.0068443,            0.002278,            0.002278,            0.002278
                  80,             0.02559,            0.024383,            0.001145,             0.88097,                0.85,             0.88986,             0.46401,            0.035885,            0.015454,           0.0056958,            0.002179,            0.002179,            0.002179
                  81,            0.025485,             0.02516,           0.0012206,             0.91663,              0.8375,             0.89981,             0.46339,            0.036371,            0.015414,           0.0044412,             0.00208,             0.00208,             0.00208
                  82,            0.025298,            0.024357,           0.0010759,              0.8526,             0.83598,             0.88978,             0.48389,            0.034727,            0.015545,           0.0046868,            0.001981,            0.001981,            0.001981
                  83,            0.025043,            0.024471,           0.0010859,             0.87533,             0.84335,             0.89404,             0.47595,            0.035743,            0.015592,           0.0043846,            0.001882,            0.001882,            0.001882
                  84,            0.025117,            0.024674,           0.0010301,             0.87979,             0.84545,              0.8888,             0.47016,            0.035293,            0.016022,           0.0048144,            0.001783,            0.001783,            0.001783
                  85,            0.024813,            0.024464,           0.0010962,             0.85463,             0.82989,             0.87341,             0.46839,            0.035495,            0.016095,           0.0065288,            0.001684,            0.001684,            0.001684
                  86,            0.024729,            0.024331,           0.0010127,             0.88398,             0.83267,             0.87582,             0.47838,            0.035199,            0.016464,           0.0044662,            0.001585,            0.001585,            0.001585
                  87,            0.024469,            0.024079,           0.0010829,             0.90529,             0.78478,             0.87185,             0.47207,             0.03545,            0.016394,           0.0047705,            0.001486,            0.001486,            0.001486
                  88,            0.024579,            0.024244,          0.00094058,             0.91002,             0.78566,             0.87104,             0.47555,            0.035323,            0.016376,           0.0054647,            0.001387,            0.001387,            0.001387
                  89,            0.024284,            0.023594,          0.00085699,             0.89989,              0.8119,             0.87576,             0.47288,             0.03551,            0.016255,           0.0063537,            0.001288,            0.001288,            0.001288
                  90,            0.024276,            0.023728,           0.0010703,              0.8506,             0.83279,             0.88527,             0.47209,            0.035955,            0.016169,            0.005904,            0.001189,            0.001189,            0.001189
                  91,            0.023907,             0.02356,           0.0009716,             0.84892,             0.81417,             0.88153,             0.47239,            0.035597,            0.016075,           0.0075762,             0.00109,             0.00109,             0.00109
                  92,            0.024032,            0.023757,          0.00099538,             0.91365,             0.77989,             0.87301,             0.46211,             0.03627,            0.016776,           0.0067315,            0.000991,            0.000991,            0.000991
                  93,            0.024016,              0.0237,          0.00096259,             0.87085,             0.82336,             0.86813,             0.45747,            0.035977,            0.016927,           0.0068718,            0.000892,            0.000892,            0.000892
                  94,            0.023688,            0.022947,          0.00093683,             0.88187,             0.81304,             0.87892,             0.46471,            0.035871,            0.016676,           0.0060383,            0.000793,            0.000793,            0.000793
                  95,            0.023756,            0.023352,           0.0009894,             0.88717,             0.82446,             0.88126,             0.47225,            0.035835,            0.016324,           0.0056726,            0.000694,            0.000694,            0.000694
                  96,            0.023692,            0.023266,           0.0008453,             0.87856,               0.807,             0.87666,             0.46151,            0.036242,            0.016454,           0.0061156,            0.000595,            0.000595,            0.000595
                  97,            0.023559,            0.023008,           0.0008593,             0.88639,             0.80707,             0.87708,             0.46251,            0.036313,            0.016648,           0.0062473,            0.000496,            0.000496,            0.000496
                  98,            0.023312,            0.023158,          0.00082233,             0.89241,             0.80883,             0.87664,             0.46363,            0.036362,            0.016748,           0.0060767,            0.000397,            0.000397,            0.000397
                  99,             0.02335,            0.023073,          0.00089542,             0.89068,             0.81167,             0.88141,             0.46766,            0.036216,            0.016477,           0.0062671,            0.000298,            0.000298,            0.000298
